Country Name,alphaCode3,SeriesName,SeriesCode,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018
Mauritius,MUS,"Population, total",SP.POP.TOTL,659351,680757,700349,718861,736381,753000,768813,783917,798413,812405,826000,839230,852053,864819,878042,892000,906507,921379,933499,949888,966039,980462,992521,1001691,1012221,1020528,1028360,1036082,1043239,1051260,1058775,1070266,1084441,1097374,1112846,1122457,1133996,1148284,1160421,1175267,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473,1264613,..
Mauritius,MUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,146.562920772613,160.788119987841,180.384566019017,201.584890016651,211.883408071749,249.30860986181,280.015064376332,279.593229344648,309.51017383102,299.159764771402,295.778928709119,294.200324224878,301.490180105442,301.317597639251,313.563175140711,347.154692909098,388.000177592121,436.141670317156,482.278408766623,670.586290760549,728.790786589502,780.125428677079,820.139715356843,857.261471937716,945.247791229419,1021.16762316622,1108.6107617976,1205.59693421612,1226.95523655476,1363.24610973541,1453.66454705267,1473.49249265952,1561.7659905882,1614.24664804263,1683.69083267793,1743.11748174224,1816.67110347442,1881.64977522283,1907.12256970136,1995.36148432502,2025.70416574843,2075.03571195383,2148.32841140489,2182.50915591141,..,..,..,..
Mauritius,MUS,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2365.4191139532,2452.34961047072,2502.70495394874,2531.79430226336,2226.32378368905,2284.62561336935,2376.11656101508,2369.87986162782,2441.9786577105,2593.83090453188,2833.16214935925,3103.15646108566,3296.71223856593,3457.58632044108,3682.33411245731,3842.78274291954,4045.09169263074,4191.13358791412,4271.14712811209,4425.01514240422,4600.84839759528,4829.40730973719,5058.17001531817,5129.09719451447,5532.33549791377,5681.92745915248,5760.76949897404,5881.14214778501,6199.32279693538,6245.03898024482,6785.69106896702,7281.19091866834,7561.3173242233,7662.28043202973,8095.97869210172,8343.57550476331,8616.09910130235,8874.6470931389,8977.19123591672,9429.79855531124,9801.82797562443,10322.3583227166,..
Mexico,MEX,"Population, total",SP.POP.TOTL,38174112,39394126,40649588,41939880,43264272,44623043,46011038,47429812,48894019,50423481,52029861,53718724,55478151,57280587,59088193,60872399,62623763,64345884,66039488,67709689,69360871,70992195,72602533,74196548,75780605,77360707,78934125,80503052,82083919,83697891,85357874,87071512,88828310,90600453,92349147,94045579,95687452,97281739,98821456,100300579,101719673,103067068,104355608,105640453,106995583,108472228,110092378,111836346,113661809,115505228,117318941,119090017,120828307,122535969,124221600,125890949,127540423,129163276,..
Mexico,MEX,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,501.445268878687,543.40311377717,572.654746013689,615.469828295477,642.261528085989,679.486475445431,720.512286380276,776.081122857888,820.783566145164,866.598114086543,905.986918702824,960.090469570807,979.856906550423,1018.86228013091,1058.25041128437,1077.10068363968,1123.02574565744,1157.54707082151,1212.90989279527,1165.39922257201,1272.21863334589,1291.62650961163,1283.95605262592,1367.86320289455,1383.9353362905,1406.01507499646,1486.22959957572,1597.07219857194,1641.76519858375,1750.55615839426,1784.87662033813,1796.76975290106,1952.53801117267,1882.39546299776,1950.98786022907,1974.4691135657,1998.72409994511,1995.43718330226,1942.76054760049,1963.31468760871,2153.7153697778,2187.22753435584,2079.19357947869,2090.17594363621,..,..,..,..
Mexico,MEX,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3776.58609671902,3847.37469656278,3908.64968442928,4094.30115184104,4423.30895576742,4568.46045394181,4682.80866717525,4904.42287352913,5201.43732666627,5211.11849306601,5367.27873225498,5391.49291662331,5649.41299806524,5918.39482916008,6053.64705876339,6187.08687335911,6254.72731750431,6283.74119608685,6662.68280813211,7114.99923403038,7562.31395313204,7951.42118947584,7481.58373542358,7149.11422057264,7275.30554049756,7352.81703125776,6931.19187992212,6976.86231621233,7002.16162305625,7166.14144761671,7421.83848475974,7624.90899821291,7745.76628602692,7763.64237412651,7985.90072945285,7247.68740557562,7634.11277661967,8090.38097800136,8375.34424282132,8509.89428435496,8806.3729844581,8682.51895285426,8583.161527975,8598.78526519076,8842.3438627788,8864.89518855632,9183.30588373192,9232.63261493065,9214.7041763949,8564.57518345008,8909.2243253269,9060.19657584955,9224.14558030277,9129.08933051875,9312.96414856252,9480.5190186203,9618.58898369472,9710.79307926355,..
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,44537,45955,47388,48876,50487,52242,54199,56319,58403,60170,61431,62108,62298,62290,62476,63144,64386,66105,68222,70550,72964,75462,78059,80678,83240,85686,87948,90020,92021,94091,96331,98799,101413,103934,106057,107556,108344,108502,108238,107816,107432,107165,106983,106816,106577,106196,105684,105078,104478,103960,103616,103468,103503,103702,104015,104433,104937,105544,..
"Micronesia, Fed. Sts.",FSM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Micronesia, Fed. Sts.",FSM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2963.7160284126,..,..,..,..,..,..,..,..
Moldova,MDA,"Population, total",SP.POP.TOTL,2544000,2605000,2664000,2721000,2774000,2825000,2873000,2918000,2960000,3002000,3044000,3088000,3131000,3174000,3215000,3251000,3284000,3312000,3339000,3366000,3396000,3429000,3464000,3500000,3536000,3570000,3602000,3633000,3660000,3681000,3696000,3704000,3706000,3701000,3691000,3675099,3667748,3654208,3652732,3647001,3639592,3631462,3623062,3612874,3603945,3595187,3585209,3576910,3570108,3565604,3562045,3559986,3559519,3558566,3556397,3554108,3551954,3549196,..
Moldova,MDA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3235.38961038961,3438.44492440605,2965.19158121964,2583.89624425831,2221.34922785153,2094.36534906951,1979.41625215255,1863.05760372699,1859.43014707895,1742.52762749448,1638.09569863875,1804.5073857306,1872.44932601209,2101.92771737957,1960.9067285988,2047.73771155715,2166.12197503688,1996.41590087534,2028.22995830938,1740.79903432911,1722.88671254855,1470.23050090646,1514.53047448265,1352.7921078322,1386.23443895606,..,..,..,..
Moldova,MDA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1070.99067637736,1058.22025206529,1072.61528458191,999.10154448884,967.054321476823,985.322173596021,1097.63018214975,1187.33907021298,1333.11802780327,1447.82771250651,1545.04856557156,1619.77298764411,1637.29573880604,1772.36893336851,1608.12138779811,1767.6877964298,1887.48399478785,1927.98321052691,2103.33094929178,2191.74318003417,2121.54180888132,2223.2603512996,..,..
Monaco,MCO,"Population, total",SP.POP.TOTL,22452,22808,23039,23168,23236,23282,23305,23292,23304,23346,23484,23720,24051,24439,24835,25197,25523,25809,26087,26395,26745,27164,27624,28095,28512,28835,29041,29172,29235,29312,29439,29624,29863,30138,30427,30691,30967,31251,31523,31800,32082,32360,32629,32933,33314,33793,34408,35111,35853,36534,37094,37497,37783,37971,38132,38307,38499,38695,..
Monaco,MCO,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Monaco,MCO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,"Population, total",SP.POP.TOTL,955505,982178,1011324,1042383,1074514,1107124,1139961,1173191,1207104,1242214,1278825,1317050,1356670,1397304,1438425,1479651,1520865,1562209,1603906,1646291,1689622,1733475,1777727,1823216,1871090,1921881,1976309,2033343,2089714,2141008,2184145,2217918,2243502,2263200,2280496,2298039,2316567,2335695,2355590,2376162,2397436,2419776,2443659,2469286,2496832,2526446,2558012,2591670,2628131,2668289,2712650,2761516,2814226,2869107,2923896,2976877,3027398,3075647,..
Mongolia,MNG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1468.35313945036,1556.43677178012,1559.5007827012,1598.78337418422,1604.85154656125,1489.36998230429,1340.44631045873,1223.97929665318,1099.32838458819,1077.83569890059,1090.93013652075,1085.65821752619,1057.92922449207,1068.52211123328,1042.43734223508,1053.62562337431,1071.17353011188,1096.71603116474,1139.1957027254,1195.91546407608,1251.95630541876,1299.055672921,1333.88895962835,1425.72801736291,1380.66004094759,1492.63635190681,1500.6250190113,1594.04397514627,1902.33407119358,2017.51361881544,..,..,..,..
Mongolia,MNG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2041.22725929844,2200.7665168476,2368.18743666262,2526.0998691988,2434.31177772061,2436.5903023416,2794.72328952357,3091.24435095103,3471.7685939578,3580.56608906799,3604.3530988664,3574.13358118293,3434.16043047231,..
Montenegro,MNE,"Population, total",SP.POP.TOTL,480579,491140,502558,513409,521753,526327,526419,522796,517481,513340,512407,515449,521785,530220,538902,546487,552562,557576,562065,566888,572608,579445,587001,594506,600884,605398,607711,608144,607413,606571,606372,607105,608516,610170,611389,611712,611003,609520,607662,606001,604950,607389,609828,612267,613353,614261,615025,615875,616969,618294,619428,620079,620601,621207,621810,622159,622303,622373,..
Montenegro,MNE,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6314.90522758241,6451.77025324174,6564.6437994723,6287.18784898431,5010.5613187254,5419.51606966427,5741.20394336851,5415.71798949728,4574.96454482966,4612.34139045689,..,..,..,..
Montenegro,MNE,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5207.77310364282,5259.55117476787,5439.78088001623,5591.26067634447,5759.0520881081,5688.11490602049,6215.40416702891,6589.57610819172,7087.62579560362,6540.41304076849,6635.79926569298,6963.28310782111,6845.53200419738,7098.5748285418,7166.77156397745,7497.93916474107,7588.42899299704,8089.19825709757,..
Morocco,MAR,"Population, total",SP.POP.TOTL,12328532,12710547,13094818,13478232,13857142,14229044,14593284,14950803,15302947,15651924,16000008,16347198,16695003,17049165,17416964,17803698,18210754,18636977,19081718,19543347,20019847,20511601,21016818,21528502,22037610,22537376,23023935,23497766,23961820,24421191,24879136,25336862,25791494,26237417,26667048,27075232,27460603,27825901,28175263,28514798,28849621,29181832,29512368,29843937,30179285,30521070,30869346,31225881,31596855,31989897,32409639,32858823,33333789,33824769,34318082,34803322,35276786,35739580,..
Morocco,MAR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,125.220236520045,138.903838471907,152.148213710173,157.719795482152,163.168348508271,178.685627184904,192.305865913769,205.851485699558,222.275130252766,236.515294047952,248.347264555312,261.79034333361,280.047353039241,282.517024305267,294.044879048919,306.637418842609,310.540159434731,340.082681532538,334.709310450911,358.131407778791,370.408932250568,400.868596445014,400.839762542174,420.0689930134,429.839345420937,432.583363154844,450.012382348374,478.753295044664,452.396681891276,489.08788091185,523.921870292448,534.962155527472,580.452907402934,610.982003052756,633.103623169175,686.733045785939,715.848497597234,732.129827478083,744.297488672752,774.368390835825,823.888305433216,874.428046568603,878.586931369731,901.128448845131,..,..,..,..
Morocco,MAR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,804.130990431709,865.409275022686,926.451594694987,983.731503235187,1016.67060467278,1047.15113053136,1049.94013181927,1063.33707876998,1102.26775764818,1159.04026206918,1251.53525229104,1293.94641696884,1284.65389362545,1309.34728593414,1320.62749414777,1251.19581790582,1327.30718293579,1313.91894455266,1371.68107491569,1403.88151995638,1530.00615440986,1489.83735549223,1617.54644827774,1635.66292373095,1671.27150465026,1754.86495577426,1693.198631045,1642.19159097957,1796.3977165342,1665.77866481998,1860.42890929422,1805.47518824925,1923.86357454969,1922.20300536978,1933.12819232339,2052.29668031431,2097.61301623523,2200.51355015634,2287.90534982378,2348.26477892431,2494.1409926937,2557.29909324756,2680.74430712427,2727.28583577809,2795.1642564231,2893.12097034496,2928.32670899452,3036.33918889298,3042.07046575919,3147.85605646858,3141.07191069684,3216.04712573616,..
Mozambique,MOZ,"Population, total",SP.POP.TOTL,7388695,7541325,7699139,7862072,8030025,8203076,8381455,8565674,8756481,8954809,9161534,9375144,9595762,9827580,10076172,10344494,10632932,10936936,11248046,11554979,11848331,12133074,12409243,12657708,12853780,12984405,13034385,13020861,13002553,13059613,13247649,13591970,14071231,14636995,15217044,15759132,16248232,16701351,17136780,17584869,18067687,18588758,19139658,19716598,20312705,20923070,21547463,22188387,22846758,23524063,24221405,24939005,25676606,26434372,27212382,28010691,28829476,29668834,..
Mozambique,MOZ,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,50.7725534669121,49.917869993024,56.8807376790624,67.287457975112,55.1017768486308,60.8486915932501,56.4143376170437,59.7437101519677,36.3479674000273,36.4608314875741,36.0172533357993,47.6257899051538,37.2105281619706,29.0187011136024,30.9602172760323,36.4420722573409,41.5487117172973,33.9164162607143,38.8985492908557,41.3658302692048,54.6646291891462,53.0870397906196,49.7369849480717,43.5038500250114,45.3705191377292,45.0510554009815,53.4687283681422,48.1420663625255,67.899283184879,123.148026640045,271.88475959502,260.558469749041,367.152588899971,440.020174565623,441.761175582742,449.055185754351,449.153874952695,432.358936878484,431.898180174063,440.395592245784,440.675159253547,445.385967288667,436.136708676113,462.620288073275,..,..,..,..
Mozambique,MOZ,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,191.844861158724,195.022434741759,176.257678538693,144.807134345578,132.267268171797,131.030359061392,127.227631858171,142.708670450301,157.719345893048,163.66914091139,167.168601570003,170.539089936315,152.658389427461,160.532240125416,163.658176345755,164.473155232726,204.911362558883,221.759926241402,242.193013115779,258.007727442973,248.478828063983,271.692061417418,263.895245533024,298.256681019089,307.428341575674,323.687071601023,334.184905972475,353.285791623546,369.12964326812,393.860555842778,405.149633393547,429.664892981429,451.468133279393,470.316788388112,486.637943170226,499.428290989754,501.463074379869,502.441598248143,..
